service
ICT service exports BoP current US
ICT service exports  of service exports BoP
Annual freshwater withdrawals agriculture  of total freshwater withdrawal
Annual freshwater withdrawals domestic  of total freshwater withdrawal
Annual freshwater withdrawals industry  of total freshwater withdrawal
Annual freshwater withdrawals total billion cubic meters
Annual freshwater withdrawals total  of internal resources
Renewable internal freshwater resources total billion cubic meters
Renewable internal freshwater resources per capita cubic meters
Investment in energy with private participation current US
Investment in ICT with private participation current US
Investment in transport with private participation current US
Public private partnerships investment in energy current US
Public private partnerships investment in ICT current US
Public private partnerships investment in transport current US
Industrial design applications nonresident by count
Industrial design applications resident by count
Trademark applications nonresident by count
Trademark applications resident by count
Air transport registered carrier departures worldwide
Air transport freight million tonkm
Air transport passengers carried
Railways goods transported million tonkm
Railways passengers carried million passengerkm
Rail lines total routekm
Liner shipping connectivity index maximum value in 2004  100
Container port traffic TEU 20 foot equivalent units
Mobile cellular subscriptions
Mobile cellular subscriptions per 100 people
Fixed telephone subscriptions
Fixed telephone subscriptions per 100 people
Fixed broadband subscriptions
Fixed broadband subscriptions per 100 people
Secure Internet servers
Secure Internet servers per 1 million people
Individuals using the Internet  of population
ICT goods imports  total goods imports
ICT goods exports  of total goods exports
Information and communication technology expenditure per capita current US
Information and communication technology expenditure current US
Information and communication technology expenditure  of GDP
Road density km of road per 100 sq km of land area
Roads goods transported million tonkm
Roads paved  of total roads
Roads total network km
Motor vehicles per 1000 people
Passenger cars per 1000 people
Vehicles per km of road
International Internet bandwidth Mbps
International Internet bandwidth bits per second per person
Annual investment in telecommunications current LCU
Annual investment in telecommunications  of revenue
Revenue from all telecommunication services current LCU
Revenue from all telecommunication services  GDP
Mobile and fixedline telephone subscribers
Mobile and fixedline telephone subscribers per 100 people
Households with television 
Personal computers per 100 people
provision of security services.
supply and delivery of office safe and bookshelf for chairman's office
supply of safety shoes
supply and delivery of promotional items
supply and delivery of airtime
supply and delivery of epson receipt printer lq 690 as per specificati...
supply and delivery of 51 seater bus(re-tender)
supply and delivery of foodstuffs (perishables)
supply and delivery of huma drugs
supply and delivery of foodtuff (meat)
supply and delivery of toners to netfund
provision of conference facilities
supply and delivery of drinking water
air ticket
supply and delivery of tablets
supply of book scanner
supply of ebook readers
conference facilities
master plan consultancy services for delivery of one million (1) housi...
supply and delivery of un-interrupted power supply
provision of rehabilitation works for olkiriai riverine at oloitiko pr...
construction makutano road
supply of photocopying papers 80 gsm a4 size
tender for replacement of current cyberroam with sophos utm appliance...
provision of airtickets
proposed access control system to mosc 4th floor- mombasa headquarter
tender for tea cleaning and messengerial services
provision of hall services and breakfast
procurement of stores and toners
supply of stores and toners
mumbani earth dam rehabilitation
supply and delivery of transcend hard disk
purchase of pressure switch sensor pt. no. 79134
"supply, installation, calibration and commissioning of weighbridge "
"supply, installation and commissioning of solar systems in kapkoiment..."
supply and install of cyclone roof ventilators at ifpp-hola
provision of insurance service
procurement of toners - 83a
supply and delivery of toners
"supply of toners, spring files, pritt, sugar and disposable cups "
design printing and supply of frequently asked questions
provision of risk management training services
tender for provision of security information  & event management (siem...
"return air tickets to mombasa for wanyingi,marilyn,martha,zablon,eliza..."
motor vehicle service and repair gk b 271m
supply of air ticket
provision of corporate antivirus
service contract for mwache copiers
hire of conference facilities for 6 staff members and 2 facilitators o...
"supply, installation& commissioning of an electronic issuance, trading..."
"supply of extension cables,30cm rulers,stick notes 3 x 3 in assorted c..."
procurement of tonner cc 364a
return travel travel ait ticket to obernai(france)
design works
helb/rfq/70/printing and supply of event banner for the consultative f...
supply and delivery of roll up banners
supply and delivery of stationeries
supply and delivery of teaching materials chemistry & physics departme...
supply and delivery of factory solvents
supply and delivery of toner for technical department
supply of one-way air tickets for 10pax to malindi-ktb/rfq/tkt/0026-b/...
supply of hardcore
tender for the supply and delivery of flight progress electronic therm...
"tender for supply, installation and commissioning of composite repair..."
"tender for supply, delivery and installation of assorted office furnit..."
"supply, delivery, installation and commissioning of water treatment un..."
tender for provision of consultancy services for ict vulnerability ass...
supply of heavy duty printer
provision of consultancy services to conduct a national survey on insu...
provision of consultancy services to assess insurance claims managemen...
"printing and supply of branded delegates bag(1,000 pieces)"
printing and supply of external resource mobilization fliers -2000 pie...
provision of air ticket
supply of toners
repair of motor vehicle - gk a932h
provision of decoration services at the helb stand at the devolution c...
"printing and supply of nametags,programmes and lanyards for the univer..."
provision of air ticket services
provision of monthly staff air time
provision of service and repair of motor vehicle
supply and delivery of insecticide for seed maize treatment
supply and delivery of ceos briefcase
supply of laptops  and  desktops
supply and delivery of mill lining plates
supply of sensor pressure 7861-92-1670
"supply, install & commission air conditioner"
